conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1920340440978526558,Thu May 08 05:45:05 +0000 2025,0,@Sekjebn komitmen penuh untuk mewujudkan Indonesia emas 2045 semoga bermanfaat untuk semuanya #HumasPolriModern Adaptif Hadapi Tantangan,1920354247125692788,,Sekjebn,in,,0,0,0,https://x.com/undefined/status/1920354247125692788,1904940944174338048,
1920286598031421468,Thu May 08 01:19:56 +0000 2025,5,Menko AHY menekankan bahwa pembangunan infrastruktur harus berpihak kepada seluruh rakyat Indonesia tanpa kecuali sebagai bagian dari upaya kolektif mewujudkan Indonesia Emas 2045. Kita saat ini dipimpin oleh Presiden Prabowo Subianto dalam sebuah kapal besar menuju tujuan https://t.co/KFaqTzpQsJ,1920287519981383835,https://pbs.twimg.com/media/GqY7Uk7XYAA5N6m.jpg,PDemokrat,in,,0,1,4,https://x.com/undefined/status/1920287519981383835,248199104,
1920020440577368163,Wed May 07 07:38:40 +0000 2025,0,Berbagai upaya berikut dilakukan Grup MIND ID dalam membangun generasi emas yang menjadi investasi jangka panjang untuk mewujudkan Indonesia Emas 2045.,1920020444041654605,,bumnbandungjitu,in,,0,1,0,https://x.com/undefined/status/1920020444041654605,1432240027367477249,
1919949351582843291,Wed May 07 04:20:16 +0000 2025,1,Contohnya seperti kemampuan kepemimpinan Kemenpora yang TII nilai belum seimbang dan relevan dalam mewujudkan Indonesia Emas 2045 karena kegiatannya masih berat sebelah pada investasi olahraga. Padahal agenda investasi pemuda sangat perlu dipersiapkan Indonesia.,1919970515479101483,,the_indonesian,in,,0,1,1,https://x.com/undefined/status/1919970515479101483,202579029,
1919748997385748955,Wed May 07 03:18:24 +0000 2025,19,@ash0narr mari mewujudkan Indonesia emas bersama bapak rion kenzo,1919954945991962659,,ash0narr,in,,0,1,0,https://x.com/undefined/status/1919954945991962659,1515428875362136064,
1919936994303418664,Wed May 07 02:07:04 +0000 2025,0,Bank SBI Indonesia turut mendukung Kampanye Gerakan Nasional (GERNAS) Ke-23 Rezim APU PPT dan PPSPM di Indonesia dengan melangkah bersama untuk penguatan sinergitas rezim APU PPT &amp; PPSPM guna memperkuat supermasi hukum dalam rangka mewujudkan Indonesia Emas 2045 https://t.co/VEKlLVZZ2U,1919936994303418664,https://pbs.twimg.com/media/GqT8gl_bAAAa80i.jpg,,in,,0,1,0,https://x.com/undefined/status/1919936994303418664,1796034793999872000,
1919931103525118050,Wed May 07 01:43:40 +0000 2025,1,Sebagai BUMN Holding Pertambangan Indonesia Grup MIND ID torehkan catatan positif dalam momen Hari Pendidikan Nasional. Berbagai upaya berikut dilakukan Grup MIND ID dalam membangun generasi emas yang menjadi investasi jangka panjang untuk mewujudkan Indonesia Emas 2045. #MINDID https://t.co/30g3mlWgzV,1919931103525118050,https://pbs.twimg.com/media/GqT3KMfbAAMVlW6.jpg,,in,,0,0,0,https://x.com/undefined/status/1919931103525118050,1819301096348913664,
1919929465976541564,Wed May 07 01:37:09 +0000 2025,0,Sebagai BUMN Holding Pertambangan Indonesia Grup MIND ID torehkan catatan positif dalam momen Hari Pendidikan Nasional. Berbagai upaya berikut dilakukan Grup MIND ID dalam membangun generasi emas yang menjadi investasi jangka panjang untuk mewujudkan Indonesia Emas 2045. https://t.co/jOtgFj50ZK,1919929465976541564,https://pbs.twimg.com/media/GqT1qyiaYAAqkdP.jpg,,in,,0,0,0,https://x.com/undefined/status/1919929465976541564,1616008716146573315,
1919847448270537176,Tue May 06 20:11:15 +0000 2025,0,Berbagai upaya berikut dilakukan Grup MIND ID dalam membangun generasi emas yang menjadi investasi jangka panjang untuk mewujudkan Indonesia Emas 2045. #MINDIDBangunGenerasiEmas #MasaDepanIndonesia #MemberiNilaiTambah https://t.co/UDPiZqe5Ym,1919847448270537176,https://pbs.twimg.com/media/GqSrDx9bYAAq-Jm.jpg,,in,,0,0,0,https://x.com/undefined/status/1919847448270537176,1612686471714181120,
1919664739124404698,Tue May 06 08:05:14 +0000 2025,0,Satresnarkoba Polres Mura lakukan sosialisasi bahaya narkoba melalui pemutaran video edukatif di Gedung Satpas dan SPKT Polres Mura. Kegiatan ini bertujuan untuk meningkatkan kesadaran masyarakat dalam mendukung upaya pemberantasan narkoba demi mewujudkan Indonesia Emas 2045. https://t.co/vchkgDpzZ1,1919664739124404698,https://pbs.twimg.com/ext_tw_video_thumb/1919664552020738049/pu/img/MowP2F9kcEELR0EA.jpg,,in,,0,0,0,https://x.com/undefined/status/1919664739124404698,793699394700791808,
